,adm1_area,cartodb_id,gid_1,iso,wdpa_area
205,2561441531.96294,711,DNK.1_1,DNK,512348402.682789
206,421213622.971781,1825,MKD.18_1,MKD,54256.650387716
207,53323528261.9343,104,ARG.10_1,ARG,21517303516.9053
208,77915130306.9149,102,ARG.8_1,ARG,6647864398.81974
209,8126999106.54251,3136,TUR.17_1,TUR,0.0
210,4837494709.6312,1697,LSO.10_1,LSO,1292403895.92157
211,1908917716.18307,1392,JOR.5_1,JOR,48106891.3361818
212,428455781619.154,1455,KAZ.9_1,KAZ,2296051912.14488
213,22368304819.5841,1236,IND.21_1,IND,463855394.73922
214,80226201244.6584,1230,IND.15_1,IND,3103697285.76482
215,192071313986.024,1231,IND.16_1,IND,8736296823.55861
216,101048808449.603,1772,MDG.3_1,MDG,8941905751.83194
217,2018742465.88625,888,EST.14_1,EST,395959669.157912
218,13628737.3334839,1543,KNA.2_1,KNA,0.0
219,45678440980.0213,1202,IDN.26_1,IDN,2721266529.15108
220,3470077506.32251,881,EST.6_1,EST,484014493.577746
221,1133241125.52554,372,BRN.4_1,BRN,289780729.762051
222,21619289.0880206,1547,KNA.6_1,KNA,0.0
223,1178398791.21054,2499,PRK.6_1,PRK,1902204.70840024
224,156079867461.515,1241,IND.26_1,IND,7234922360.91682
225,17856269745.4687,1361,ITA.20_1,ITA,3761088407.98226
226,4281077330.57045,2399,PNG.21_1,PNG,241303429.736854
227,10074181372.8951,3285,UGA.39_1,UGA,512272503.876543
228,7303969637.86961,714,DNK.4_1,DNK,
229,2886785847.21922,766,DZA.19_1,DZA,979428482.682608
230,8554703725.26481,3286,UGA.40_1,UGA,4770297850.58649
231,9827500119.21626,2386,PNG.9_1,PNG,0.0
232,77293314.2019455,2434,PRI.19_1,PRI,9812701.4156358
233,131196038.535746,2466,PRI.51_1,PRI,0.0
234,428888462056.551,2688,RUS.83_1,RUS,5265608418.49607
235,841112.109400956,2194,NRU.5_1,NRU,0.0
236,9458084337.99406,3359,URY.19_1,URY,2073030403.24662
237,13195264895.2029,3343,URY.3_1,URY,661472459.508424
238,12413308689.3321,3345,URY.5_1,URY,0.0
239,14085006802.9456,1534,KHM.18_1,KHM,5479549260.51797
240,160645334.869844,2456,PRI.41_1,PRI,8793584.55124353
241,134285360.672919,2468,PRI.53_1,PRI,27361953.6690009
242,168929055686.24,3409,USA.50_1,USA,
243,4536483578.58385,1519,KHM.3_1,KHM,0.0
244,95245490034.0128,2632,RUS.27_1,RUS,14920571561.2811
245,22578875812.4849,118,ARG.24_1,ARG,1803699181.77166
246,59527358820.9606,2634,RUS.29_1,RUS,3593520118.68251
247,137126344773.632,116,ARG.22_1,ARG,1993532458.29743
248,20829469427.3441,117,ARG.23_1,ARG,2368338041.08083
249,24368732439.1438,2644,RUS.39_1,RUS,213473802.603003
250,21216417988.423,2713,SDN.7_1,SDN,0.0
251,27718444.8015494,1658,LIE.7_1,LIE,1880309.90753709
252,2135784761.82788,2330,PHL.50_1,PHL,35541869.3798636
253,3718134353.01914,75,ALB.7_1,ALB,670471805.949404
254,2653451472.4745,1691,LSO.4_1,LSO,31701.3602076198
255,3772617600.39803,1692,LSO.5_1,LSO,0.0
256,760620241.752467,1135,HRV.10_1,HRV,240935687.555798
257,6893607671.1643,3473,VNM.10_1,VNM,2047260061.30272
258,4426327168.0871,1353,ITA.12_1,ITA,1162499409.9246
259,25233507840.2334,1354,ITA.13_1,ITA,4167991562.85399
260,17910137743.3176,937,GAB.3_1,GAB,12496977819.1371
261,3208970546.91287,793,DZA.46_1,DZA,33289908.8463686
262,1662537384.53378,77,ALB.9_1,ALB,172066162.37051
263,59920266.1392502,358,BRB.1_1,BRB,587448.034574387
264,192898366779.892,2671,RUS.66_1,RUS,13891922256.5454
265,2243621390.97365,762,DZA.15_1,DZA,0.0
266,36683410892.913,2680,RUS.75_1,RUS,2226815199.0077
267,1111309352.72649,382,BTN.10_1,BTN,649903743.362907
268,5894895788.91862,802,ECU.7_1,ECU,164984154.210712
269,1306824292.08756,384,BTN.12_1,BTN,853243.68415249
270,4910992.37481339,2777,SMR.1_1,SMR,0.0
271,1878840144.87912,383,BTN.11_1,BTN,651229392.288235
272,2721293696.92502,373,BTN.1_1,BTN,1912308238.48284
273,15903052011.4482,805,ECU.10_1,ECU,803733954.71335
274,85644826.2162157,2430,PRI.15_1,PRI,7826913.75075544
275,1942894570.69102,1673,LKA.11_1,LKA,491804987.332536
276,8027858251.09051,804,ECU.9_1,ECU,6416139276.10308
277,19603876128.4664,809,ECU.14_1,ECU,1019558669.05272
278,1882871978.9266,374,BTN.2_1,BTN,1651937.82203519
279,11102992099.0784,807,ECU.12_1,ECU,1019930811.90022
280,7298754429.11207,808,ECU.13_1,ECU,22471848.3089794
281,3139217730.98887,376,BTN.4_1,BTN,3080835848.5118
282,72327047186.0754,37,AGO.3_1,AGO,1489944401.93597
283,2862258984.27888,378,BTN.6_1,BTN,2407920961.77882
284,34505484268.598,35,AGO.1_1,AGO,8622012469.18456
285,131579413374.829,325,BOL.4_1,BOL,29201545126.4086
286,1946852944.56221,379,BTN.7_1,BTN,469801852.323765
287,54439599890.8233,323,BOL.2_1,BOL,20931220974.7578
288,1907672952.93678,377,BTN.5_1,BTN,664064277.684199
289,1023431145.78533,381,BTN.9_1,BTN,151328960.045902
290,43829499221.2031,765,DZA.18_1,DZA,0.0
291,1289104575.1879,380,BTN.8_1,BTN,353296991.557088
292,39659164919.109,36,AGO.2_1,AGO,548488502.609661
293,220584942353.391,324,BOL.3_1,BOL,45922910167.0315
294,51836161667.0474,326,BOL.5_1,BOL,2620368187.96456
295,37173637898.9131,2709,SDN.3_1,SDN,45742907.2757198
296,7081173217.69924,38,AGO.4_1,AGO,0.0
297,78222040861.2341,47,AGO.13_1,AGO,0.0
298,109420910971.218,900,ETH.10_1,ETH,34745312739.0236
299,2916287.95995053,3205,TUV.5_1,TUV,0.0
300,16575185080.0663,414,CAF.6_1,CAF,92479091.9749203
301,686001247.388833,1667,LKA.5_1,LKA,37288932.7508579
302,4145850536.30696,786,DZA.39_1,DZA,0.0
303,2481077941.03029,1666,LKA.4_1,LKA,977543726.576286
304,9380460314.14859,785,DZA.38_1,DZA,0.0
